user_ID,name,affiliation
ItLUYmwAAAAJ,Warut Pannakkong,"Sirindhorn International Institute of Technology, Thammasat University"
4JcGoFYAAAAJ,"Asst. Prof. Pimonmart Wankanapon, PhD","Faculty of Architecture and Planning,Thammasat University"
dJU_ZQMAAAAJ,Wilaiporn Kotbungkair,Thammasat University
Uaa1KsoAAAAJ,Ali Turab,Thammasat University
pvCnCF0AAAAJ,Nunthika Puthikanon,Thammasat University
MX7TAskAAAAJ,Tipsuda Chaipiboonwong ( ทิพย์สุดา ไชยไพบูลย์วงศ์ ),"Department of Physics, Thammasat University"
dFNZTekAAAAJ,Natenapha Yabushita,Thammasat Business School
bcJvUQUAAAAJ,Pornraht Pongprasert,"Lecturer, Real Estate Business Department, Thammasat Business School, Thammasat …"
HLXaHaQAAAAJ,Thoetphum Benyakorn,"Assistant Professor of Surgery, Thammasat University"
9B2xPZwAAAAJ,Sakkakom Maneenop,"Department of Finance, Thammasat Business School"
THq7zHkAAAAJ,Pana Suttakul,"Sirindhorn International Institute of Technology, Thammasat University"
sPNLbBEAAAAJ,Pasitpon Vatcharavongvan,"Faculty of medicine, Thammasat University"
_6Bg2wMAAAAJ,Riza Eka Saputra,"Master's Student at Sirindhorn International Institute of Technology (SIIT), Thammasat …"
O5v1JZwAAAAJ,Pongphan Leelatien,Thammasat University
USNdDDcAAAAJ,Mahesh Kumar Sharma,"Department of Electrical and Computer Engineering, Thammasat University, Rangsit …"
_yizwDoAAAAJ,Patchanok Srisuradetchai,Thammasat University
PkFWEbUAAAAJ,Charlie Thame,"Assistant Professor in International Relations, Thammasat University"
TSl-lysAAAAJ,Krittakom Srijiranon,"Department of Computer Science, Faculty of Science and Technology, Thammasat …"
4Qnf3T0AAAAJ,Kedwadee Sombultawee,Assistant professor of Thammasat University
HI_T5EQAAAAJ,boonanan natakun,"Lecturer in interior architecture, Faculty of Architecture and Planning, Thammasat University"
izbSPNwAAAAJ,Vanlee Siriganjanavong,Thammasat University
D6PmTr8AAAAJ,Chatphorn Theppitak,Thammasat University
ZfF9ubwAAAAJ,Ray Wang,Thammasat University
9XBboDkAAAAJ,Laliphat Manamanchaiyaporn,"Department of Mechanical Engineering, Thammasat University"
g3Jq1TkAAAAJ,Dichapong Pongpattrachai,Thammasat Business School
ICKbTXkAAAAJ,Le Kim Hoang Pham,"Ph.D student, Thammasat University"
